English sentence	fr	zh_cn	ja
And just as these North -to - South transfers are opening up, so too are the development institutions that channeled these transfers.	Et à l' apparition de ces transferts Nord-Sud s' associe également la {{transparence}} de les institutions de développement qui réalisaient ces transferts .	当 这些 由 北 向南 的 援助 正 在 变得 更加 开放 ， 同样 的 ， 这些 {{组织}} 援助 的 发展 机构 也 在 逐渐 变得 更为 {{开放}} 。	この 南 北間 の {{知識}} の 移転 が 始まっ た よう に それ ら の 移転 を 支え た 開発 機関 に も {{変化 が 始まっ て い ます}}
If you must, fear the unexploded.	Si vous devez {{avoir peur}} , ayez peur de ce qui n' a pas encore explosé		
So, if I were running for anything, and I'm not, I would simply say that the jobs we hope to make and the jobs we hope to create are n't going to stick unless they're jobs that people want.	Si j' étais candidat pour quoi que ce soit , et ce n' est pas le {{cas}} , je dirai simplement que les emplois que nous espérons faire et les emplois que nous espérons créer ne collerons pas si ce ne sont pas des emplois que les gens veulent .		で も 一 つ 言わ せ て もらう と {{インフラ}} 整備 で 創出 しよう と し てる 雇用 は 長続き し ない だろう ね ― 人々 は その 職業 に 就き たい と 思っ て い ない ん だ から
When China gets its hands on Hong Kong, that wo n't be the case. "" Thirteen years on, the political and legal system in Hong Kong is as different now as it was in 1997.		当 中国 {{政府}} 接手 香港 ， 这 不可能 。 ” 13 年来 ， 香港 现在 的 政治 和 司法 体制 和 1997 年 一样 ， 但 和 {{中国 大陆}} 的 有所 不同 。	
So actually the response of China to the question of Hong Kong — as it will be to the question of Taiwan — was a natural response: one civilization, many systems.		的 确中 国 在 香港 问题 上 的 回应 也是 在 台湾 问题 上 的 {{回应}} ， 它 是 一 个 很 自然 的 回应 ： 一 种 文明 ， 多 种 体制 。	
And I'll tell you now, that East Asianers, people from East Asia, are far more knowledgeable about the West than the West is about East Asia.		现在 我 会 告诉 你 ， 东亚人 ， 东亚 的 人们 ， 对西方 的 认识 {{程度}} 比起 西方 国家 对 东亚 的 认识 程度 要深 的 多 。	で は お 伝え し ましょう 東 アジア 人 東 アジア 出身 の 人 は 西洋 に つい て 西洋 の 人 が 東 アジア に つい て 持っ て いる 知識 より も ずっと {{多く}} の こと を {{知っ て い ます}}
But it actually makes a lot of sense they should, because bees, like us, can recognize a good flower regardless of the time of day, the light, the weather, or from any angle they approach it from. (Applause) BL: So the next step was to design an experiment, which is a game. So the kids went off and they designed this experiment, and so — well, game — and so, Amy, can you tell us what the game was, and the puzzle that you set the bees?		不过 事实 上 他们 应 该 {{拥有}} 这样 的 能力 ， 并 极具 {{意义}} 因为 蜜蜂 ， 无论 在 一 天 中 的 什么 时候 ， 无论 光线 ， 无论 天气 ， 又 或 从 任意 一 个 角度 接触 花朵 ， 都能 像 我们 一样 能够 辨别 一朵 花 的 好坏 。 （ 掌声 ） BL ： 所以 接 下来 一 步 就是 设计 一 个 实验 ， 也 就是 一 个 {{游戏}} 。 所以 孩子 们 跑去 设计 了 这 个 实验 ， 也 就是 — — 这 个 游戏 ， 所以 ， Amy, 你 能 跟 我们 讲讲 那 个 游戏 吗 ？ 还有 你们 给 蜜蜂 设置 了 怎样 的 难题 ？	で も そう できる はず だ と も 思え ます だっ て ミツバチ は {{人間}} と 同じ よう に 時刻 や 光 や 天気 や 近づく 方向 など に 関わら ず 良い 花 を 認識 する こと が できる から です ( 拍手 ) 次 の ステップ は 実験 つまり ゲーム の デザイン です 子ども たち が この 実験 なら ぬ ゲーム を デザイン し まし た エイミー ミツバチ に やら せ た パズル が どんな もの か 話し て くれる か な ？
Or as Schelling put it, imagine if you were a rich — as you will be — a rich Chinese, a rich Bolivian, a rich Congolese, in 2100, thinking back on 2005, and saying, "" How odd that they cared so much about helping me a little bit through climate change, and cared so fairly little about helping my grandfather and my great grandfather, whom they could have helped so much more, and who needed the help so much more? "" So I think that really does tell us why it is we need to get our priorities straight.		又 或者 如 Schelling 所说 ， 设想 到 了 二一 零 零年 ， 你 是 一 个 有钱 的 中国 人 ， 玻利维亚 人 ， 或者 是 刚果 人 ， 当 你 回想 二 零零 五 年 ， 你 会说 ， “为 什么 他们 那么 着紧 ， 要 在 {{应付}} 气候 变化 上 帮 我 一 点儿 ， 却 并 不 在 意 帮助 我 那 亟 需 援手 的 祖父 和 曾 祖父 ， 虽然 他们 可以 做 的 是 那么 多 ？ 我 让为 这 正 正 说明 了 为 什么 正确 地 订明 先后 次序 是 那么 重要 ，	あるいは シェリング が 述べ て いる の です が あなた が 2100 年 の 裕福 な 中国 人 や ボリビア 人 コンゴ 人 だ と し て 2005 年 の 事 を 振り返っ て 言う の です 「 奇妙 な 事 が ある 当時 の {{人々}} は 気候 変動 を 心配 し て 少し 支援 し て くれ た しかし もっと 助け を 必要 と し て い た 我々 の じい さん や ひいじい さん を 支援 する 事 も でき た の に な に も し て くれ なかっ た の だ 」 この 事 から 優先 順位 を 正さ ない と いけ ない 理由 が 分かる と 思い ます
In 1970, the developed world decided we were going to spend twice as much as we did, right now, than in 1970, on the developing world.		在 七十 年代 ， 发达 国家 估计 我们 需要 花 在 发展 中 国家 的 钱 ， 是 我们 现在 实质 {{花费}} 在 这些 国家 的 两 倍 。	
(Laughter) In fact, most of us do everything we can to avoid thinking about being wrong, or at least to avoid thinking about the possibility that we ourselves are wrong.		（ 笑声 ） 事实上 ， 我们 大 部分 的 人 都 尽力 不 思考 错误 的 {{价值}} 或 至 少避 免想 到 我们 有 可能 犯错 。	
So try and learn as best you can what that impact is and then take the first step to minimize it.		所以 尝试 学习 这些 影响 然后 为了 减少 这些 {{影响}} 开始 你 的 第一 步 。	
So this phrase is not, not as nice as it used to be.		所以 现 阶段 {{情况}} 并 不如 以前 的 好	
And that's seven and a half seconds of prosperity that you've gained since 1950, as it were, because that's seven and a half seconds in which you can do something else, or you can acquire another good or service.		你 得多 付出 7 秒半 的 工作 {{时间}} 。 换言 之 ， 1950 年 以来 ， 7 秒半钟 的 {{时间 }}， 你 可以 做别 的 一些 事 。 或者 你 可以 换 取别 的 产品 或 服务 。	つまり 1950 年 と 比較 すれ ば 7 秒 半 の ゆとり を 手 に 入れ た こと に なり ます その {{時間}} を 他 の 事 に 費やし たり 他 の 商品 サービス 購入 に 充て られ ます
They're in bistros and cafes and restaurants and shops all over Paris, and they're all ready to serve you at an hour's notice with an excellent meal that's probably got higher quality than Louis XIV even had.		这些 人遍 布巴黎 的 酒馆 ， 咖啡 馆 ， 餐馆 和 商店 。 这些 人 随时 服务 于 你 ， 只要 你 提前 1 小时 预约 一顿 丰盛 的 美餐 ， 恐怕 你 {{享受}} 的 美 餐 要 远远 好 于 路易斯 十四 的 {{御膳}}。	使用 人 は パリ 中 の ビストロ や カフェ や レストラン や 商店 に いる の で すそして 1 時間 の 猶予 を 与え られれ ばルイ 14 世 の {{晩餐}} より も すばらしい 内容 の 晩餐 を 提供 し て くれ ます
It's that you can see the world as it is n't.			世界 を {{違う}} 角度 から 見 られる 事 です
1,200 years before Descartes said his famous thing about "" I think therefore I am, "" this guy, St. Augustine, sat down and wrote "" Fallor ergo sum "" — "I err therefore I am."			1200 年 前 デカルト は 有名 な {{言葉}} を 残し まし た “ 我思う 故 に 我 あり ” 聖 アウグスティヌス も 座り込み “ ファーラー エルゴスム ” と 書き残し まし た “ 我誤る 故 に 我 あり ”
This is a public budget. (Laughter) And as you can see, it's not really accessible or understandable to an ordinary citizen that is trying to understand how the government is spending its resources.			これ は 公表 さ れ て いる 予算 です （ 笑 ） ご覧 の よう に 実際 に 触れ られ ず 一般 市民 に は その 資源 の 政府 の {{利用 計画}} が 理解 さ れ ない の です
JA: So these are — as far as we can tell — classical whistleblowers, and we have a number of ways for them to get information to us.			私達 が {{受け取る 情報}} は おそらく は 内部 告発 に よる もの です データ の 受け渡し 方法 は いく つ も 用意 し て い ます
Audre Lorde once said, "" The white fathers taught us to say, 'I think, therefore I am.' "" She suggested, "" I feel, therefore I am free. "" I think it was a wonderful paradigm shift.			“ 白人 の 父 から 教え られ た の は 我思う ゆえ に 我 あり ” 彼女 が 提言 し た の は “ 我感 じる ゆえ に 我 は 自由 ” 素晴らしい パラダイム シフト だ と 思い ます で も 今日 に {{至っ て}}
And I realized, probably too late in this game — I hope not, because I do n't know if I can do 200 more of these things — but we're going to do as many as we can.			だ から これ から どれ だけ の {{仕事 を 経験 できる}} か わから ない けど できる かぎり 多く の 仕事 に 挑戦 し て み たい と 思っ て いる
