Ellipsis (0 = no, 1 = yes)	English sentence																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	So do n't go back and read my dissertation.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	It probably has lies in it as well.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Having said that, I outlined my talk about five minutes ago.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	(Laughter) And if you look at it over here, the main thing I wrote on my thumb was the future.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I'm supposed to talk about the future, yes?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Oh, right. And my feeling is, asking me to talk about the future is bizarre, because I've got gray hair, and so, it's kind of silly for me to talk about the future.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	In fact, I think that if you really want to know what the future's going to be, if you really want to know about the future, do n't ask a technologist, a scientist, a physicist.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	No! Do n't ask somebody who's writing code.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	No, if you want to know what society's going to be like in 20 years, ask a kindergarten teacher.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	They know.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	In fact, do n't ask just any kindergarten teacher, ask an experienced one.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	They're the ones who know what society is going to be like in another generation.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
1	I do n't. Nor, I suspect, do many other people who are talking about what the future will bring.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Certainly, all of us can imagine these cool new things that are going to be there.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But to me, things are n't the future.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	What I ask myself is, what's society is going to be like, when the kids today are phenomenally good at text messaging and spend a huge amount of on - screen time, but have never gone bowling together?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Change is happening, and the change that is happening is not one that is in software.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But that's not what I'm going to talk about.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I'd love to talk about it, it'd be fun, but I want to talk about what I'm doing now. What am I doing now?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Oh — the other thing that I think I'd like to talk about is right over here. Right over here.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Is that visible? What I'd like to talk about is one- sided things.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I would dearly love to talk about things that have one side.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Because I love Mobius loops. I not only love Mobius loops, but I'm one of the very few people, if not the only person in the world, that makes Klein bottles.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Right away, I hope that all of your eyes glaze over.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	This is a Klein bottle.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	For those of you in the audience who know, you roll your eyes and say, yup, I know all about it.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	It's one sided. It's a bottle whose inside is its outside.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	It has zero volume. And it's non-orientable.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	It has wonderful properties.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	If you take two Mobius loops and sew their common edge together, you get one of these, and I make them out of glass.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And I'd love to talk to you about this, but I do n't have much in the way of... things to say because — (Laughter) (Chris Anderson: I've got a cold.) However, the "" D "" in TED of course stands for design.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Just two weeks ago I made — you know, I've been making small, medium and big Klein bottles for the trade.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But what I've just made — and I'm delighted to show you, first time in public here.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	This is a Klein bottle wine bottle, which, although in four dimensions it should n't be able to hold any fluid at all, it's perfectly capable of doing so because our universe has only three spatial dimensions.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And because our universe is only three spatial dimensions, it can hold fluids.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	So it's highly — that one's the cool one.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	That was a month of my life.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
1	But although I would love to talk about topology with you, I'm not going to.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	(Laughter) Instead, I'm going to mention my mom, who passed away last summer.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Had collected photographs of me, as mothers will do.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Could somebody put this guy up?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And I looked over her album and she had collected a picture of me, standing — well, sitting — in 1969, in front of a bunch of dials.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And I looked at it, and said, oh my god, that was me, when I was working at the electronic music studio!																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	As a technician, repairing and maintaining the electronic music studio at SUNY Buffalo. And wow!																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Way back machine. And I said to myself, oh yeah!																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And it sent me back.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Soon after that, I found in another picture that she had, a picture of me.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	This guy over here of course is me.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	This man is Robert Moog, the inventor of the Moog synthesizer, who passed away this past August.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Robert Moog was a generous, kind person, extraordinarily competent engineer.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	A musician who took time from his life to teach me, a sophomore, a freshman at SUNY Buffalo.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	He'd come up from Trumansburg to teach me not just about the Moog synthesizer, but we'd be sitting there — I'm studying physics at the time. This is 1969, 70, 71.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	We're studying physics, I'm studying physics, and he's saying, "" That's a good thing to do.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Do n't get caught up in electronic music if you're doing physics. "" Mentoring me. He'd come up and spend hours and hours with me.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	He wrote a letter of recommendation for me to get into graduate school.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
1	In the background, my bicycle.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I realize that this picture was taken at a friend's living room.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Bob Moog came by and hauled a whole pile of equipment to show Greg Flint and I things about this.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	We sat around talking about Fourier transforms, Bessel functions, modulation transfer functions, stuff like this.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Bob's passing this past summer has been a loss to all of us.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Anyone who's a musician has been profoundly influenced by Robert Moog.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	(Applause) And I'll just say what I'm about to do. What I'm about to do — I hope you can recognize that there's a distorted sine wave, almost a triangular wave upon this Hewlett - Packard oscilloscope.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Oh, cool. I can get to this place over here, right?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Kids. Kids is what I'm going to talk about — is that okay?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	It says kids over here, that's what I'd like to talk about.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I've decided that, for me at least, I do n't have a big enough head.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	So I think locally and I act locally.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I feel that the best way I can help out anything is to help out very, very locally.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
